unnamed:_0;food;makanan_indonesia;caloric_value;fat;saturated_fats;monounsaturated_fats;polyunsaturated_fats;carbohydrates;sugars;protein;dietary_fiber;cholesterol;sodium;water;vitamin_a;vitamin_b1;vitamin_b11;vitamin_b12;vitamin_b2;vitamin_b3;vitamin_b5;vitamin_b6;vitamin_c;vitamin_d;vitamin_e;vitamin_k;calcium;copper;iron;magnesium;manganese;phosphorus;potassium;selenium;zinc;nutrition_density
2023;corn syrup dark;sirup jagung gelap;57;0.0;0.0;0.0;0.0;15.5;15.5;0.0;0.0;0.0;0.047;4.4;0.0;0.025;0.0;0.0;0.045;0.071;0.013;0.062;0.0;0.0;0.0;0.0;3.6;0.089;0.044;1.6;0.079;2.2;8.8;0.078;0.069;19.122
2024;buttermilk dressing light;Buttermilk Dressing Light;30;1.9;0.2;0.4;0.6;3.2;0.6;0.2;0.2;2.4;0.2;9.3;0.023;0.059;0.052;0.0;0.012;0.051;0.1;0.085;0.061;0.0;0.2;0.026;6.0;0.041;0.1;0.9;0.01;29.0;19.8;0.098;0.002;11.699
2025;cider vinegar;cuka sari;3;0.0;0.0;0.0;0.0;0.1;0.018;0.0;0.0;0.0;0.011;14.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.094;0.052;0.7;0.006;1.2;10.9;0.018;0.059;1.117
2026;tartar sauce;Saus Tartar;32;2.5;0.5;0.5;1.4;2.0;0.6;0.2;0.078;1.1;0.1;10.1;0.056;0.023;0.008;0.0;0.074;0.094;0.076;0.034;0.3;0.0;0.3;0.089;3.9;0.001;0.047;0.9;0.03;2.6;10.2;0.05;0.098;9.096
2027;pepper hot sauce;Saus panas merica;1;0.018;0.057;0.031;0.06;0.031;0.065;0.024;0.071;0.0;0.1;4.2;0.0;0.006;0.045;0.0;0.078;0.078;0.097;0.061;3.5;0.0;0.061;0.039;0.4;0.085;0.035;0.2;0.016;0.5;6.8;0.0;0.055;4.171
2028;tomato chili sauce;Saus Chili Tomat;6;0.095;0.076;0.097;0.064;1.2;0.6;0.2;0.4;0.0;0.083;4.1;0.0;0.021;0.033;0.0;0.028;0.043;0.0;0.086;1.0;0.0;0.1;0.025;1.2;0.017;0.087;0.7;0.0;3.1;22.2;0.052;0.082;4.085
2029;turkey gravy dry;Suci kalkun kering;26;0.5;0.1;0.2;0.2;4.6;0.0;0.7;0.0;1.0;0.3;0.3;0.013;0.026;0.087;0.045;0.011;0.2;0.029;0.03;0.015;0.0;0.0;0.0;10.2;0.053;0.2;3.1;0.003;17.8;30.0;0.073;0.01;16.335
2030;salsa sauce;saus salsa;5;0.039;0.07;0.048;0.089;1.2;0.7;0.3;0.3;0.0;0.1;16.1;0.0;0.037;0.055;0.0;0.092;0.2;0.07;0.021;0.3;0.0;0.2;0.067;5.4;0.009;0.007;2.7;0.042;5.9;49.5;0.005;0.08;7.524
2031;steak sauce;Saus Steak;16;0.004;0.0;0.0;0.0;3.7;1.7;0.2;0.3;0.0;0.3;12.1;0.0;0.01;0.044;0.0;0.081;0.2;0.0;0.036;1.2;0.0;0.2;0.015;3.2;0.087;0.2;2.9;0.084;5.6;53.0;0.085;0.02;8.815
2032;molasses;tetes;58;0.068;0.052;0.021;0.068;14.9;14.9;0.0;0.0;0.0;0.007;4.4;0.0;0.017;0.0;0.0;0.044;0.2;0.2;0.1;0.0;0.0;0.0;0.0;41.0;0.093;0.9;48.4;0.3;6.2;292.8;0.056;0.08;56.848
2033;italian dressing fat free;Italia Dressing Fat Gratis;7;0.1;0.099;0.018;0.022;1.2;1.2;0.1;0.077;0.3;0.2;12.0;0.0;0.081;0.031;0.07;0.017;0.073;0.0;0.0;0.026;0.0;0.1;0.042;4.2;0.046;0.036;0.7;0.069;15.3;14.3;0.096;0.059;5.71
2034;plum sauce;saus prem;35;0.2;0.094;0.007;0.1;8.1;0.0;0.2;0.1;0.0;0.1;10.2;0.0;0.075;0.032;0.0;0.066;0.2;0.092;0.094;0.021;0.0;0.0;0.0;2.3;0.044;0.3;2.3;0.046;4.2;49.2;0.1;0.029;11.246
2035;chow mein stir fry master foods;makanan master tumis chow mein mein;26;0.2;5.5;0.6;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.2
2036;beef gravy instant;saus daging sapi instan;25;0.6;0.3;0.2;0.08;4.1;1.6;0.7;0.3;0.7;0.3;0.3;0.1;0.085;0.065;0.009;0.027;0.026;0.012;0.1;0.01;0.0;0.002;0.021;9.4;0.067;0.4;2.7;0.091;16.0;30.2;0.049;0.082;15.598
2037;horseradish;lobak;2;0.085;0.007;0.005;0.029;0.6;0.4;0.003;0.2;0.0;0.039;4.3;0.0;0.0;0.056;0.052;0.0;0.02;0.037;0.048;0.081;1.2;0.0;0.012;0.027;2.8;0.052;0.04;1.4;0.062;1.6;12.3;0.016;1.133
2038;grenadine;Grenadine;54;0.0;0.0;0.0;0.0;13.4;9.3;0.0;0.0;0.0;0.038;6.5;0.0;0.0;0.0;0.0;0.064;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.2;0.044;0.011;0.8;0.0;0.8;5.6;0.051;0.066;14.63
2039;tabasco sauce;Saus Tabasco;1;0.002;0.051;0.086;0.089;0.006;0.067;0.045;0.013;0.0;0.075;4.5;0.0;0.056;0.059;0.0;0.066;0.091;0.081;0.0;0.2;0.0;0.014;0.031;0.6;0.017;0.019;0.6;0.038;1.1;6.0;0.063;0.089;1.054
2040;sweet sour sauce;Saus asam manis;26;0.084;0.0;0.0;0.0;6.7;3.3;0.02;0.065;0.0;0.024;10.5;0.0;0.048;0.079;0.0;0.08;0.026;0.021;0.09;1.5;0.0;0.1;0.002;1.8;0.011;0.021;1.4;0.1;1.2;17.3;0.006;0.072;10.183
2041;salsa verde;Salsa Verde;6;0.1;0.0;0.0;0.0;1.0;0.5;0.2;0.3;0.0;0.034;13.4;0.0;0.027;0.084;0.0;0.005;0.2;0.021;0.093;1.8;0.0;0.097;0.003;1.4;0.075;0.079;2.9;0.076;6.2;38.9;0.086;0.067;4.826
2042;miso;miso;40;1.2;0.2;0.2;0.6;5.1;1.2;2.6;1.1;0.0;0.7;8.6;0.0;0.0;0.082;0.063;0.045;0.06;0.2;0.015;0.04;0.0;0.0;0.065;0.094;11.4;0.046;0.5;9.6;0.2;31.8;42.0;0.092;10.193
2043;sprouted soybean cooked;Kedelai kecambah dimasak;76;4.2;0.6;0.9;2.4;6.1;0.4;8.0;0.8;0.0;0.2;74.7;0.0;0.2;0.023;0.0;0.052;1.0;0.7;0.079;7.8;0.0;0.2;0.024;55.5;0.3;1.2;56.4;0.7;126.9;333.7;0.042;1.0;83.6
2044;soy flour roasted;Tepung kedelai dipanggang;375;18.6;2.7;4.1;10.5;28.6;6.5;29.6;8.2;0.0;0.083;3.2;0.0;0.4;0.2;0.0;0.8;2.8;1.0;0.3;0.0;0.0;1.7;0.087;159.8;1.9;4.9;313.7;1.8;404.6;1734.9;0.029;3.0;249.7
2045;soy flour low fat;Tepung kedelai rendah lemak;330;7.8;1.1;1.3;3.7;30.7;9.3;40.0;14.1;0.0;0.085;4.1;0.0;1.0;0.3;0.0;0.2;2.6;1.4;0.9;0.0;0.0;0.5;0.023;250.8;1.4;7.2;250.8;2.8;594.0;1839.2;0.055;3.6;350.6
2046;green soybean cooked;Kedelai hijau dimasak;127;5.8;0.7;1.1;2.7;9.9;0.0;11.1;3.8;0.0;0.2;61.7;0.0;0.0;0.2;0.01;0.0;0.1;1.1;0.1;0.007;15.3;0.0;0.0;0.0;130.5;0.1;2.3;54.0;0.5;142.2;485.1;0.0;30.78
2047;azumaya tofu vitasoy;Azumaya Tofu Vuasasoy;316;16.6;2.0;4.7;9.9;9.1;1.6;32.8;2.4;0.0;0.03;331.8;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;711.0;0.0;5.1;0.0;0.0;0.0;0.0;0.0;0.0;777.0
2048;soy proteins isolate;Protein kedelai mengisolasi;96;1.0;0.1;0.2;0.5;2.1;0.0;22.8;1.6;0.0;0.3;1.4;0.0;0.037;0.01;0.0;0.085;0.4;0.079;0.006;0.0;0.0;0.0;0.0;50.4;0.5;4.1;11.0;0.4;219.6;22.9;0.011;1.1;82.0
2049;tofu yogurt;yogurt tahu;246;4.7;0.7;1.0;2.7;41.8;3.2;9.2;0.5;0.0;0.03;203.1;0.0;0.0;0.2;0.004;0.0;0.027;0.6;0.0;0.048;6.6;0.0;0.8;0.013;309.2;0.2;2.8;104.8;0.0;99.6;123.1;0.068;56.57
2050;bacon meatless;Bacon tanpa daging;446;42.5;6.7;10.2;22.2;9.1;0.0;15.4;3.7;0.0;2.1;70.5;0.0;6.3;0.047;0.0;0.7;10.9;0.2;0.7;0.0;0.0;9.9;0.0;33.1;0.2;3.5;27.4;0.3;100.8;244.8;0.004;0.6;107.3
2051;meatless chicken fried;Ayam tanpa daging digoreng;304;16.6;1.5;4.2;6.0;11.1;0.0;27.7;5.6;0.0;0.5;73.4;0.0;1.7;0.017;0.038;0.5;16.6;0.0;1.1;0.0;0.0;2.5;0.0;54.6;0.7;5.0;15.6;0.0;318.5;390.0;0.037;0.8;120.6
2052;soymilk;kedelai;109;4.8;0.5;1.0;2.9;8.4;6.1;7.1;1.0;0.0;0.1;221.1;0.0;0.0;0.2;0.007;0.061;0.5;8.0;0.0;0.6;17.5;0.069;6.1;0.0;340.2;0.3;1.2;0.0;0.0;0.0;342.6;0.099;22.2
2053;soy vermicelli;kedelai vermicelli;463;0.1;0.092;0.005;0.093;115.2;24.4;0.1;5.5;0.0;0.032;16.7;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.7;0.019;77.0;2.7;2.5;2.8;0.0;28.0;4.2;0.017;5.9;200.4
2054;tofu fried;Tahu goreng;35;2.6;0.4;0.6;1.5;1.2;0.4;2.4;0.5;0.0;0.021;6.6;0.0;0.0;0.01;0.036;0.0;0.054;0.073;0.041;0.094;0.0;0.0;0.011;0.099;48.4;0.051;0.6;7.8;0.2;37.3;19.0;0.038;6.832
2055;tempeh;Tempe;320;17.9;3.7;5.0;6.4;15.6;0.0;30.8;0.0;0.0;0.068;99.0;0.0;0.1;0.086;0.096;0.6;4.4;0.5;0.4;0.0;0.0;0.0;0.0;184.3;0.9;4.5;134.5;2.2;441.6;683.9;0.0;1.9;253.1
2056;koyadofu;Koyadofu;81;5.2;0.7;1.1;2.9;1.7;0.0;8.9;1.2;0.0;0.081;1.0;0.0;0.0;0.021;0.078;0.0;0.041;0.2;0.011;0.029;0.1;0.0;0.0;0.0;61.9;0.2;1.7;10.0;0.6;82.1;3.4;0.04;17.237
2057;meatless meatloaf;Meatloaf tanpa daging;110;5.0;0.8;1.2;2.6;4.5;0.7;11.8;2.6;0.0;0.3;32.5;0.0;0.5;0.066;0.062;0.3;5.6;0.0;0.7;0.0;0.0;1.0;0.0;16.2;0.4;1.2;10.1;0.0;192.6;100.8;0.02;1.0;41.3
2058;soya vanille joghurt alpro;SOYA VANILLE JOGHURT ALPRO;21;0.6;0.1;2.7;2.6;1.0;0.09;0.3;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.9
2059;soybean curd cheese;Keju dadih kedelai;340;18.2;2.6;4.0;10.3;15.5;3.6;28.1;0.0;0.0;0.094;159.5;0.0;0.0;0.006;0.0;0.3;1.1;0.3;0.2;0.0;0.0;1.4;0.011;423.0;0.9;12.6;513.0;2.0;499.5;447.8;0.068;3.9;497.4
2060;soy sauce;kecap;8;0.054;0.025;0.059;0.099;0.8;0.097;1.3;0.1;0.0;0.9;11.4;0.0;0.0;0.012;0.04;0.0;0.073;0.4;0.046;0.01;0.0;0.0;0.0;0.0;5.3;0.031;0.2;11.8;0.2;26.6;69.6;0.087;2.293
2061;soybean dry roasted;kedelai kering panggang;419;20.1;2.9;4.4;11.4;30.4;0.0;36.8;7.5;0.0;0.077;0.7;0.0;0.4;0.2;0.0;0.7;1.0;0.4;0.2;4.3;0.0;0.0;0.076;130.2;1.0;3.7;212.0;2.0;603.6;1268.5;0.028;4.4;233.0
2062;soybean oil;minyak kedelai;120;13.6;2.1;3.1;7.9;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.1;0.064;0.0;0.0;0.048;0.0;0.0;0.0;0.0;0.0;0.095;13.67
2063;meatless chicken;ayam tanpa daging;376;21.4;3.1;4.6;12.2;6.1;0.0;39.7;6.0;0.0;1.2;98.9;0.0;0.1;0.1;0.068;0.4;2.4;1.0;1.2;0.0;0.0;4.5;0.0;58.8;1.2;5.5;28.6;2.0;562.8;90.7;0.012;1.2;137.5
2064;soybean cooked;Kedelai dimasak;296;15.4;2.2;3.4;8.7;17.1;5.2;28.6;10.3;0.0;0.075;107.6;0.0;0.0;0.3;0.022;0.0;0.5;0.7;0.3;0.4;2.9;0.0;0.6;0.099;175.4;0.7;8.8;147.9;1.4;421.4;885.8;0.064;72.517
2065;soymilk nonfat;kedelai tanpa lemak;68;0.046;0.0;0.0;0.046;10.1;8.9;6.0;0.5;0.0;0.1;225.2;0.1;0.064;0.092;0.063;0.4;0.8;0.0;0.084;0.0;0.071;0.2;0.063;281.9;0.3;0.9;24.3;0.0;211.4;255.2;0.046;0.2;299.508
2066;soy flour;Tepung kedelai;23;1.1;0.2;0.2;0.6;1.8;0.4;1.8;0.5;0.0;0.023;0.3;0.0;0.0;0.062;0.058;0.0;0.002;0.2;0.069;0.009;0.0;0.0;0.1;0.061;10.7;0.2;0.3;22.3;0.1;25.7;130.8;0.086;5.488
2067;soybean lecithin oil;minyak lesitin kedelai;104;13.6;2.0;1.5;6.2;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.1;0.015;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;13.6
2068;tofu raw;Tahu mentah;188;11.9;1.7;2.6;6.7;4.7;0.0;20.0;0.7;0.0;0.06;209.7;0.0;0.2;0.096;0.0;0.1;0.5;0.2;0.1;0.2;0.0;0.0;0.0;868.0;0.5;13.3;74.4;1.5;240.6;300.1;0.005;2.0;918.8
2069;soy chips;Keripik kedelai;109;2.1;0.3;0.5;1.1;15.0;0.5;7.5;1.0;0.0;0.2;2.4;0.0;0.02;0.098;0.0;0.076;0.8;0.4;0.1;0.0;0.0;0.3;0.048;48.4;0.7;1.5;48.1;0.6;2.0;2.0;0.099;0.4;75.5
2070;green soybean raw;kedelai hijau mentah;376;17.4;2.0;3.3;8.2;28.3;0.0;33.2;10.8;0.0;0.017;172.8;0.0;1.1;0.4;0.0;0.4;4.2;0.4;0.2;74.2;0.0;0.0;0.0;504.3;0.3;9.1;166.4;1.4;496.6;1587.2;0.081;2.5;677.3
2071;soy proteins concentrate;Protein kedelai berkonsentrasi;93;0.1;0.04;0.092;0.099;7.2;0.0;18.0;1.6;0.0;0.3;1.6;0.0;0.076;0.087;0.0;0.078;0.2;0.007;0.015;0.0;0.0;0.0;0.0;102.7;0.3;3.1;39.6;1.2;237.4;127.4;0.019;1.2;132.7
2072;soybean margarine;Margarin kedelai;34;3.8;0.8;1.8;1.0;0.043;0.0;0.052;0.0;0.0;0.005;0.7;0.067;0.06;0.013;0.049;0.051;0.033;0.012;0.054;0.077;0.0;0.1;0.0;1.4;0.0;0.0;0.1;0.0;1.1;2.0;0.0;0.0;5.309
2073;chocolate soymilk nonfat;Cokelat Nonfat Cokelat;107;0.046;0.0;0.0;0.012;20.7;8.9;6.0;0.5;0.0;0.1;214.8;0.1;0.001;0.03;0.005;0.4;1.2;0.0;0.037;0.0;0.062;0.3;0.021;281.9;0.5;0.9;24.3;0.0;211.4;255.2;0.027;0.2;310.107
2074;okara;Okara;93;2.1;0.2;0.4;0.9;15.3;0.0;3.9;0.0;0.0;0.07;99.6;0.0;0.0;0.035;0.017;0.0;0.063;0.1;0.1;0.1;0.0;0.0;0.0;0.0;97.6;0.2;1.6;31.7;0.5;73.2;259.9;0.048;21.6
2075;meatless meatballs;Bakso tanpa daging;284;13.0;2.1;3.2;6.7;11.5;1.8;30.2;6.6;0.0;0.8;83.5;0.0;1.4;0.1;0.073;0.3;3.6;0.7;0.3;0.0;0.0;2.5;0.0;36.0;1.0;3.1;25.9;0.0;495.4;259.2;0.016;2.6;100.4
2076;vanilla soymilk;Vanilla Soymilk;131;4.3;0.5;1.0;2.3;15.3;9.7;7.9;1.5;0.0;0.1;214.0;0.0;0.1;0.032;0.0;0.2;1.2;0.9;0.2;0.0;0.0;0.3;0.042;60.8;0.3;1.6;60.8;0.5;126.4;286.7;0.08;0.3;91.4
2077;soy meal raw;Makanan kedelai mentah;414;2.9;0.3;0.5;1.3;49.0;0.0;54.8;0.0;0.0;0.017;8.5;0.0;0.8;0.4;0.0;0.3;3.2;2.4;0.7;0.0;0.0;0.0;0.0;297.7;2.4;16.7;373.3;4.6;855.2;3037.8;0.018;6.2;421.1
2078;soymilk low fat;kedelai rendah lemak;104;1.5;0.0;0.5;1.0;17.5;8.5;4.0;1.9;0.0;0.04;218.4;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.032;0.0;0.0;199.3;0.0;1.1;0.0;0.0;150.7;155.5;0.0;0.0;225.3
2079;sprouted soybean raw;Tumbuk kedelai mentah;85;4.7;0.7;1.1;2.6;6.7;0.0;9.2;0.8;0.0;0.005;48.3;0.0;0.0;0.2;0.1;0.0;0.045;0.8;0.7;0.1;10.7;0.0;0.0;0.0;46.9;0.3;1.5;50.4;0.5;114.8;338.8;0.045;21.8
2080;soybean raw;kedelai mentah;830;37.1;5.4;8.2;20.9;56.1;13.6;67.9;17.3;0.0;0.023;15.9;0.0;1.6;0.7;0.0;1.6;3.0;1.5;0.7;11.2;0.0;1.6;0.099;515.2;3.1;29.2;520.8;4.7;1309.4;3342.4;0.071;9.1;734.0
2081;tempeh cooked;Tempe dimasak;55;3.2;1.0;1.1;0.7;2.6;0.0;5.1;0.0;0.0;0.084;16.9;0.0;0.021;0.022;0.07;0.1;0.6;0.1;0.079;0.0;0.0;0.0;0.0;27.2;0.2;0.6;21.8;0.4;71.6;113.5;0.0;0.4;38.7
2082;vanilla soymilk light;Vanilla Soymilk Light;83;2.1;0.2;0.6;1.4;9.4;1.0;6.4;1.5;0.0;0.2;223.6;0.0;0.0;0.062;0.09;0.4;0.0;0.0;0.0;0.0;0.025;0.0;0.0;298.9;0.0;1.1;31.6;0.0;250.3;284.3;0.0;0.2;319.4
2083;chocolate soymilk;COOKTER COCKAT;153;3.7;0.6;0.9;2.0;24.2;19.1;5.5;1.0;0.0;0.1;208.0;0.0;0.2;0.098;0.079;0.056;0.6;1.2;0.2;0.2;4.1;0.026;0.3;0.074;306.2;0.5;1.2;36.5;0.0;123.9;347.5;0.023;35.156
2084;soy oil;minyak kedelai;120;13.6;3.4;8.3;1.3;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.1;0.076;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;13.6
2085;natto;natto;169;8.8;1.3;1.9;5.0;11.5;3.9;14.2;4.3;0.0;0.026;44.0;0.0;0.0;0.1;0.089;0.0;0.2;0.0;0.2;0.1;10.4;0.0;0.009;0.085;173.6;0.5;6.9;92.0;1.2;139.2;583.2;0.033;39.429
2086;chrysanthemum raw;Chrysanthemum Raw;12;0.3;0.0;0.0;0.0;1.5;0.0;1.7;1.5;0.0;0.012;46.6;0.0;0.0;0.07;0.084;0.0;0.097;0.3;0.1;0.061;0.7;0.0;0.0;0.2;59.7;0.044;1.2;16.3;0.5;27.5;289.2;0.0;5.285
2087;gourd cooked;labu dimasak;100;0.6;0.035;0.1;0.3;25.5;9.2;1.2;5.2;0.0;0.065;150.0;0.0;0.0;0.092;0.036;0.0;0.036;0.5;0.9;0.2;10.1;0.0;0.4;0.03;16.0;0.2;0.6;35.6;0.4;55.2;806.3;0.021;32.903
2088;cauliflower raw;Cauliflower Raw;3;0.081;0.094;0.061;0.07;0.6;0.2;0.2;0.3;0.0;0.042;12.0;0.0;0.0;0.085;0.012;0.0;0.082;0.014;0.087;0.019;6.3;0.0;0.055;0.033;2.9;0.01;0.077;2.0;0.003;5.7;38.9;0.05;1.337
2089;red cabbage raw;Kubis merah mentah;53;0.3;0.002;0.028;0.1;12.5;6.5;2.4;3.6;0.0;0.079;153.7;0.0;0.1;0.088;0.0;0.1;0.7;0.2;0.4;96.9;0.0;0.2;0.082;76.5;0.004;1.4;27.2;0.4;51.0;413.1;0.039;0.4;193.6
2090;broccoli raab raw;Broccoli Raab Raw;9;0.2;0.047;0.027;0.097;1.1;0.2;1.3;1.1;0.0;0.04;37.0;0.0;0.0;0.06;0.039;0.0;0.056;0.5;0.1;0.064;8.1;0.0;0.6;0.074;43.2;0.022;0.9;8.8;0.2;29.2;78.4;0.072;3.861
2091;napa cabbage cooked;Kubis Napa dimasak;13;0.2;0.0;0.0;0.0;2.4;0.0;1.2;0.0;0.0;0.012;105.0;0.0;0.051;0.094;0.0;0.096;0.5;0.07;0.052;3.5;0.0;0.0;0.0;31.6;0.1;0.8;8.7;0.2;20.7;94.8;0.025;0.2;39.7
2092;kelp;kelp;2;0.067;0.037;0.064;0.044;0.5;0.069;0.07;0.018;0.0;0.019;4.1;0.0;0.031;0.006;0.0;0.005;0.027;0.061;0.07;0.2;0.0;0.04;0.015;8.4;0.021;0.1;6.1;0.017;2.1;4.5;0.07;0.038;9.303
2093;shallots raw;Bawang rawa mentah;18;0.061;0.041;0.015;0.074;4.2;2.0;0.6;0.8;0.0;0.044;20.0;0.0;0.0;0.04;0.083;0.0;0.07;0.089;0.003;0.016;2.0;0.0;0.025;0.007;9.3;0.004;0.3;5.3;0.046;15.0;83.5;0.091;5.833
2094;bamboo shoots raw;Bambu menembak mentah;49;0.5;0.1;0.054;0.2;9.4;5.4;4.7;4.0;0.0;0.067;163.8;0.0;0.0;0.3;0.087;0.0;0.1;1.1;0.3;0.4;7.2;0.0;1.8;0.0;23.4;0.3;0.9;5.4;0.5;106.2;959.4;0.001;19.3
2095;jute cooked;Rami dimasak;32;0.2;0.004;0.022;0.022;6.3;0.9;3.2;1.7;0.0;0.043;75.8;0.0;0.021;0.076;0.0;0.2;0.8;0.02;0.5;28.7;0.0;0.083;0.059;183.6;0.2;2.7;53.9;0.1;62.6;478.5;0.052;0.7;226.4
2096;red lettuce;Selada merah;4;0.08;0.036;0.056;0.024;0.6;0.1;0.4;0.3;0.0;0.057;26.8;0.0;0.0;0.041;0.007;0.0;0.061;0.097;0.1;0.026;1.0;0.0;0.067;0.021;9.2;0.093;0.3;3.4;0.095;7.8;52.4;0.044;1.595
2097;broccoli cooked;Brokoli dimasak;98;1.1;0.2;0.1;0.5;20.1;3.9;6.7;9.2;0.0;0.1;249.9;0.0;0.0;0.2;0.3;0.0;0.3;1.5;1.7;0.6;181.7;0.0;4.1;0.4;112.0;0.2;1.9;58.8;0.5;187.6;820.4;0.008;38.3
2098;romanesco raw;Romanesco Raw;20;0.2;0.038;0.085;0.006;3.9;1.9;1.9;2.0;0.0;0.025;57.5;0.0;0.025;0.091;0.0;0.094;0.5;0.4;0.1;56.4;0.0;0.095;0.085;21.1;0.051;0.5;12.8;0.2;39.7;192.0;0.087;0.4;86.0
2099;eggplant raw;Terong mentah;115;0.8;0.2;0.047;0.3;26.9;16.2;4.5;13.7;0.0;0.028;422.7;0.0;0.2;0.1;0.0;0.2;3.0;1.3;0.4;10.1;0.0;1.4;0.052;41.2;0.4;1.1;64.1;1.1;109.9;1048.8;0.074;0.7;98.3
2100;leeks raw;daun bawang mentah;54;0.3;0.049;0.076;0.1;12.6;3.5;1.3;1.6;0.0;0.003;73.9;0.0;0.0;0.056;0.087;0.0;0.038;0.4;0.1;0.2;10.7;0.0;0.8;0.011;52.5;0.1;1.9;24.9;0.4;31.2;160.2;0.03;16.132
2101;lemongrass citronella;sitronella serai;5;0.076;0.067;0.091;0.082;1.2;0.0;0.038;0.0;0.0;0.024;3.4;0.0;0.05;0.011;0.0;0.097;0.018;0.082;0.034;0.1;0.0;0.0;0.0;3.1;0.082;0.4;2.9;0.3;4.8;34.7;0.031;0.1;4.937
2102;pumpkin cooked;Labu dimasak;49;0.2;0.019;0.1;0.085;12.0;5.1;1.8;2.7;0.0;0.006;229.5;0.0;0.0;0.004;0.057;0.0;0.2;1.0;0.5;0.1;11.5;0.0;2.0;0.098;36.8;0.2;1.4;22.1;0.2;73.5;563.5;0.054;17.005
2103;celery cooked;Seledri dimasak;7;0.098;0.064;0.018;0.024;1.5;0.9;0.3;0.6;0.0;0.093;35.3;0.0;0.081;0.021;0.0;0.071;0.1;0.049;0.022;2.3;0.0;0.1;0.061;15.8;0.08;0.2;4.5;0.025;9.4;106.5;0.086;0.098;20.767
2104;serrano pepper;Lada Serrano;2;0.075;0.072;0.002;0.028;0.4;0.2;0.1;0.2;0.0;0.067;5.5;0.0;0.0;0.09;0.015;0.0;0.009;0.059;0.095;0.099;2.7;0.0;0.088;0.021;0.7;0.063;0.083;1.3;0.058;2.4;18.6;0.047;0.902
2105;nopales raw;nopales mentah;14;0.063;0.018;0.039;0.044;2.9;1.0;1.1;1.9;0.0;0.076;80.9;0.0;0.024;0.059;0.0;0.07;0.4;0.1;0.079;8.0;0.0;0.0;0.039;141.0;0.06;0.5;44.7;0.4;13.8;221.0;0.099;0.2;155.484
2106;sweet potato leaves cooked;Daun ubi jalar dimasak;22;0.2;0.099;0.008;0.006;4.7;3.5;1.4;1.2;0.0;0.2;57.1;0.0;0.057;0.016;0.0;0.2;0.6;0.1;0.1;1.0;0.0;0.6;0.012;21.1;0.008;0.4;30.7;0.1;25.6;199.7;0.083;0.2;30.0
2107;eggplant cooked;terong dimasak;33;0.2;0.049;0.056;0.09;8.1;3.2;0.8;2.5;0.0;0.2;88.8;0.0;0.066;0.086;0.0;0.028;0.6;0.008;0.081;1.3;0.0;0.4;0.021;5.9;0.042;0.2;10.9;0.1;14.9;121.8;0.0;0.1;19.0
2108;asparagus cooked;Asparagus dimasak;3;0.074;0.004;0.0;0.063;0.6;0.2;0.4;0.3;0.0;0.0;13.9;0.0;0.0;0.065;0.036;0.0;0.025;0.2;0.036;0.022;1.2;0.0;0.2;0.099;3.5;0.031;0.1;2.1;0.063;8.1;33.6;0.049;1.458
2109;rutabaga cooked;Rutabaga dimasak;72;0.4;0.007;0.037;0.2;16.4;9.5;2.2;4.3;0.0;0.049;219.7;0.0;0.2;0.069;0.0;0.091;1.7;0.4;0.2;45.1;0.0;0.6;0.03;43.2;0.052;0.4;24.0;0.2;98.4;518.4;0.022;0.3;112.0
2110;parsnips raw;Parsnips mentah;128;0.5;0.1;0.2;0.023;30.6;8.2;2.0;8.3;0.0;0.068;135.2;0.0;0.0;0.2;0.1;0.0;0.036;1.2;1.0;0.2;28.9;0.0;2.5;0.055;61.2;0.2;1.0;49.3;1.0;120.7;637.5;0.094;41.83
2111;sour pickles;acar asam;17;0.3;0.079;0.018;0.1;3.5;1.6;0.5;1.9;0.0;1.9;145.8;0.0;0.0;0.013;0.0;0.006;0.0;0.069;0.096;1.6;0.0;0.1;0.038;0.0;0.1;0.6;6.2;0.036;21.7;35.7;0.0;0.079;8.4
